Year,Month,Day,Achnanthes species,Actinoptychus senarius,Actinoptychus species,Actinoptychus splendens,Amphora species,Asterionellopsis glacialis,Asterionellopsis kariana,Asterolampra marylandica,Asteromphalus heptactis,Asteromphalus hookeri,Asteromphalus species,Aulacodiscus species,Aulacoscira granulata,Bacteriastrum delicatulum,Bacteriastrum elongatum,Bacteriastrum furcatum,Bacteriastrum solitarium,Bacteriastrum species,Biddulphia biddulphiana,Biddulphia sp. 1,Biddulphia sp. 2,Biddulphia species,Cerataulina pelagica,Cerataulina species,Cerataulus species,Chaetoceros aequatorialis,Chaetoceros affinis,Chaetoceros atlanticus,Chaetoceros borealis,Chaetoceros cinctus,Chaetoceros compressus,Chaetoceros concavicornis,Chaetoceros constrictus,Chaetoceros contortus,Chaetoceros convolutus,Chaetoceros costatus,Chaetoceros criophilus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros diadema,Chaetoceros didymus,Chaetoceros difficilis,Chaetoceros eibenii,Chaetoceros furcellatus,Chaetoceros gracilis,Chaetoceros holsaticus,Chaetoceros laciniosus,Chaetoceros lorenzianus,Chaetoceros messanensis,Chaetoceros pelagicus,Chaetoceros peruvianus,Chaetoceros pseudocrinitus,Chaetoceros radicans,Chaetoceros similis,Chaetoceros simplex,Chaetoceros socialis,Chaetoceros sp. 1,Chaetoceros species,Chaetoceros teres ,Chaetoceros vanheurckii,Climacosphenia elongata,Climacosphenia species,Cocconeis costata,Cocconeis scutellum,Cocconeis species,Corethron criophilum,Coscinodiscus centralis,Coscinodiscus granii,Coscinodiscus radiatus,Coscinodiscus sp. 1,Coscinodiscus species,Cylindrotheca closterium,Dactyliosolen antarcticus,Dactyliosolen fragilissimus,Dactyliosolen species,Dactyliosolen tenuijunctus,Detonula pumila,Ditylum brightwellii,Ditylum species,Eucampia zodiacus,Eunotia species,Eupodiscus sp. 1,Fragilaria islandica,Fragilaria species,Fragilaria striatula,Fragilariopsis doliolus,Grammatophora marina,Grammatophora species,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Helicotheca tamesis,Hemiaulus hauckii,Hemiaulus sinensis ,Hemiaulus sp. 1,Hemiaulus species,Isthmia nervosa,Isthmia species,Lauderia annulata,Leptocylindrus danicus,Leptocylindrus mediterraneus,Leptocylindrus minimus,Licmophora abbreviata,Licmophora species,Lithodesmium undulatum,Melosira arctica,Melosira dubia,Melosira species,Meuniera membranacea,Navicula species,Neocalyptrella robusta,Nitzschia longissima,Odontella aurita,Odontella longicruris,Odontella mobiliensis,Paralia sulcata ,Planktoniella sol,Pleurosigma species,Proboscia alata,Proboscia indica,Psammodiscus nitidus,Pseudo-nitzschia australis,Pseudo-nitzschia delicatissima,Pseudosolenia calcar-avis,Rhabdonema adriaticum ,Rhabdonema arcuatum,Rhabdonema species,Rhizosolenia hebetata f. semispina,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia sp. 1,Rhizosolenia sp. 2,Rhizosolenia species,Rhizosolenia styliformis,Skeletonema costatum,Stephanopyxis nipponica,Stephanopyxis palmeriana,Stephanopyxis species,Stephanopyxis turris,Striatella unipunctata,Surirella species,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassiosira aestivalis,Thalassiosira anguste-lineata,Thalassiosira bioculata,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira nordenskioeldii,Thalassiosira pacifica,Thalassiosira punctigera,Thalassiosira rotula,Thalassiosira sp. 1,Thalassiosira species,Thalassiosira subtilis,Thalassiothrix longissima,Thalassiothrix sp. 1,Thalassiothrix sp. 2,Thalassiothrix species,Triceratium species,Tropidoneis species
1917 ,12 ,13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,8000 ,,,,,,,,,,,1200 ,,5000 ,,,700 ,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,100 ,,3000 ,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,1000 ,,100 ,,,500 ,,,,,,,,,,,,,,,100 ,,,,,,12000 ,,,,,,,,,,,,,,,100 ,,,,,
1917 ,12 ,20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,300 ,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,1000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,1000 ,,,,,,,,,,,,,,,,,100 ,,,,,,,,,400 ,,,,,,,,,,,,,,,,,,,,
1917 ,12 ,27 ,,100 ,,,,500 ,,100 ,1000 ,,,,,,,700 ,,,,,,,,,,,,,,,,,,,800 ,,,4000 ,,800 ,600 ,,,600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000 ,,400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700 ,,,,,,,,100 ,,1000 ,,,,,,,,,,,,,,,,,,,1000 ,,,400 ,,,,,,2000 ,,,,,,,,,,,,,,,,,,,,
1918 ,1 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,1 ,11 ,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000 ,,,13000 ,,,,,,,,,,,,,,,,,,,,,,,,400 ,,,,,,,,,,,,200 ,,,,,,13000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 ,100 ,,,,,,,,,,,,,,,,,,,,,,,,,900 ,,,,,,,,,,,,,,,,,,,,
1918 ,1 ,17 ,,,,,,,,,1000 ,,,,,,,,,,,,,,,,,,,,,,,,,,2000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,1000 ,,,,,,,,400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,900 ,,,,,,,,,,,,,,,100 ,,,,,
1918 ,1 ,24 ,,4000 ,,,,18000 ,,,100 ,,,,,,,56000 ,,,,,,,,,,,,,,,,,88000 ,14000 ,90000 ,,,2200000 ,,,156000 ,4000 ,,12000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 ,400 ,18000 ,,,,,,,,62000 ,,,,,,,,,,,,,,,,,,,,,,,,,,22000 ,,,,,,,10000 ,8000 ,,16000 ,,500 ,100 ,,,,,,,,,,,,,,,,,,,,,,,,,90000 ,,300 ,,,,800 ,,,,,,,,,,,,,,
1918 ,1 ,30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,7000 ,,,,,,,,12000 ,,400 ,44000 ,,,13000 ,,9000 ,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,200 ,,18000 ,,,,,,2000 ,,,,,,,,,,,,200 ,,,,,,,,5000 ,,,,,,,,,,,,1000 ,,300 ,,,,1000 ,,1000 ,,,,,,,,,100 ,,,,,,100 ,,,,,,,,,29000 ,,,,,,,,,,,,,,,1000 ,100 ,,,,
1918 ,2 ,9 ,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,5000 ,,2000 ,,,38000 ,,,22000 ,,7000 ,4000 ,,,,,,,,,,100 ,,,,,,,13000 ,,,,,,,,,,,,,2000 ,,,,,,1000 ,,7000 ,1000 ,,,,,,,,,,,400 ,,,,,,,,,,,,,,4000 ,,,,,,100 ,,,,100 ,,1000 ,,,,,,,,,,,,,,,,,2000 ,,,600 ,,,,,,14000 ,,100 ,,,,800 ,,,,,,,,,1000 ,,,,,
1918 ,2 ,16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000 ,,,,,,6000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000 ,,,,,,,,1000 ,,,,,,,,,,,,,,,,,,,,700 ,,,,,,,,,,,,,1000 ,100 ,,,,1000 ,,,,,,,,,,,100 ,,,,,,,,,,,,,,,5000 ,,,,,,,,,,,,,,,,,,,,
